weeks	family	value
4	Lachnospiraceae	0.20596544705580197
5	Lachnospiraceae	1.0120622072287082
6	Lachnospiraceae	1.1653711758539542
7	Lachnospiraceae	0.002740000137000007
8	Lachnospiraceae	2.9870348506482576
9	Lachnospiraceae	0.2529100303492037
10	Lachnospiraceae	10.866525782669484
11	Lachnospiraceae	1.5132949999999998
12	Lachnospiraceae	0.45039003860486043
13	Lachnospiraceae	6.570117631775164
14	Lachnospiraceae	0.17240500862025043
15	Lachnospiraceae	0.43274
16	Lachnospiraceae	1.49886875
17	Lachnospiraceae	2.4919401661293445
18	Lachnospiraceae	7.576999343599914
19	Lachnospiraceae	1.3620359866929115
20	Lachnospiraceae	0.8699656601737016
21	Lachnospiraceae	2.7539477753947774
22	Lachnospiraceae	0.19821507928603177
23	Lachnospiraceae	43.059604305960434
24	Lachnospiraceae	0.9042000452100022
1	Enterococcaceae	6.9595965399883415
2	Enterococcaceae	3.40693704074662
3	Enterococcaceae	23.057265
4	Enterococcaceae	1.8440917511239365
5	Enterococcaceae	7.69810025632444
6	Enterococcaceae	1.8457801025433387
7	Enterococcaceae	16.087163304358164
8	Enterococcaceae	4.7499997625000123e-4
9	Enterococcaceae	0.8583041029964924
10	Enterococcaceae	4.17944391641112
11	Enterococcaceae	7.967793999999999
12	Enterococcaceae	9.003741486034984
13	Enterococcaceae	4.070668798429582
14	Enterococcaceae	7.327763699721519
15	Enterococcaceae	3.6345880000000004
16	Enterococcaceae	5.21577625
17	Enterococcaceae	0.5475833698388913
18	Enterococcaceae	0.3924217189895625
19	Enterococcaceae	1.468486007982916
20	Enterococcaceae	12.973790339259534
21	Enterococcaceae	0.07433500743350076
22	Enterococcaceae	0.19543507817403133
23	Enterococcaceae	0.9963100996310099
24	Enterococcaceae	0.1868975093448755
1	Enterobacteriaceae	26.557897109620825
2	Enterobacteriaceae	20.98224765438857
3	Enterobacteriaceae	45.112918333333326
4	Enterobacteriaceae	39.174281302753414
5	Enterobacteriaceae	37.2178605597354
6	Enterobacteriaceae	38.61961436775635
7	Enterobacteriaceae	42.87219464360973
8	Enterobacteriaceae	18.002264099886798
9	Enterobacteriaceae	20.25414843049781
10	Enterobacteriaceae	26.52639946947201
11	Enterobacteriaceae	39.420077
12	Enterobacteriaceae	44.11986735313149
13	Enterobacteriaceae	30.341324881303887
14	Enterobacteriaceae	35.85347845934059
15	Enterobacteriaceae	40.403487999999996
16	Enterobacteriaceae	30.626157499999994
17	Enterobacteriaceae	34.38843895922927
18	Enterobacteriaceae	35.25112636681685
19	Enterobacteriaceae	34.35434687086937
20	Enterobacteriaceae	24.09655115009391
21	Enterobacteriaceae	40.63331906333191
22	Enterobacteriaceae	48.884504553801825
23	Enterobacteriaceae	11.836641183664117
24	Enterobacteriaceae	66.02940830147041
1	Clostridiaceae	0.5688646131861699
2	Clostridiaceae	0.17544749780690627
3	Clostridiaceae	0.03718833333333333
4	Clostridiaceae	0.7982526982453565
5	Clostridiaceae	3.9907277186558856
6	Clostridiaceae	5.469383637187979
7	Clostridiaceae	0.6222350311117515
8	Clostridiaceae	0.15040999247950038
9	Clostridiaceae	1.7431922091830654
10	Clostridiaceae	0.08031999839360003
11	Clostridiaceae	0.907091
12	Clostridiaceae	5.371050460375753
13	Clostridiaceae	6.683830962581534
14	Clostridiaceae	7.1205145226923925
15	Clostridiaceae	0.122512
16	Clostridiaceae	0.32706375
