weeks	family	value
6	Lachnospiraceae	0.12820997435800513
7	Lachnospiraceae	0.0036533335768889055
9	Lachnospiraceae	0.2344800468960094
11	Lachnospiraceae	0.00443
12	Lachnospiraceae	0.45159673440617676
13	Lachnospiraceae	6.864177862716443
14	Lachnospiraceae	0.009360000374400016
15	Lachnospiraceae	0.6226799999999999
16	Lachnospiraceae	1.3164419736711608
17	Lachnospiraceae	0.0013500001012500078
18	Lachnospiraceae	9.081509816301962
19	Lachnospiraceae	1.7686206190172165
20	Lachnospiraceae	1.4348477869695573
21	Lachnospiraceae	3.6719307343861467
23	Lachnospiraceae	43.059604305960434
24	Lachnospiraceae	1.1157900371930012
1	Enterococcaceae	8.557942474632902
2	Enterococcaceae	3.7295129637003703
3	Enterococcaceae	0.06337
4	Enterococcaceae	3.7651665411611157
5	Enterococcaceae	6.402601245639965
6	Enterococcaceae	0.9157298168540366
7	Enterococcaceae	0.385093359006224
9	Enterococcaceae	2.095940419188084
11	Enterococcaceae	0.08893999999999999
12	Enterococcaceae	11.73658842715493
13	Enterococcaceae	6.626661867466763
14	Enterococcaceae	0.6913560276542411
15	Enterococcaceae	0.22481666666666666
16	Enterococcaceae	0.2340699953186001
17	Enterococcaceae	0.06170500462787534
18	Enterococcaceae	0.3351660670332134
19	Enterococcaceae	2.250570787699776
20	Enterococcaceae	0.23952754790550956
21	Enterococcaceae	0.07305001461000293
23	Enterococcaceae	0.9963100996310099
24	Enterococcaceae	0.23338334111277806
1	Enterobacteriaceae	26.153326816456506
2	Enterobacteriaceae	10.496683157048087
3	Enterobacteriaceae	64.20429
4	Enterobacteriaceae	12.049959598334679
5	Enterobacteriaceae	18.571686612237528
6	Enterobacteriaceae	95.10858097828381
7	Enterobacteriaceae	56.2178170811878
9	Enterobacteriaceae	2.432250486450097
11	Enterobacteriaceae	81.77592
12	Enterobacteriaceae	38.906909169369705
13	Enterobacteriaceae	28.92876942142461
14	Enterobacteriaceae	25.249489009979563
15	Enterobacteriaceae	39.57700333333333
16	Enterobacteriaceae	47.46340705073186
17	Enterobacteriaceae	44.05636580422744
18	Enterobacteriaceae	42.08618641723728
19	Enterobacteriaceae	16.89298091254332
20	Enterobacteriaceae	28.21982314396463
21	Enterobacteriaceae	24.785031623672992
23	Enterobacteriaceae	11.836641183664117
24	Enterobacteriaceae	64.49161548305385
1	Clostridiaceae	0.6589256872514324
2	Clostridiaceae	0.3913000111800003
3	Clostridiaceae	0
4	Clostridiaceae	2.857836571405448
5	Clostridiaceae	0.9213071165340826
6	Clostridiaceae	0.006469998706000259
7	Clostridiaceae	0.8296467219764481
9	Clostridiaceae	0.1647000329400066
11	Clostridiaceae	0.9996799999999998
12	Clostridiaceae	6.201624263576973
13	Clostridiaceae	4.345717913085642
14	Clostridiaceae	0.5730860229234409
15	Clostridiaceae	0.10994333333333332
16	Clostridiaceae	0.04186799916264002
17	Clostridiaceae	3.972637797947835
18	Clostridiaceae	0.9177861835572365
19	Clostridiaceae	0.008600003010001052
20	Clostridiaceae	0.6105251221050244
21	Clostridiaceae	8.49926836652034
23	Clostridiaceae	1.4572401457240145
24	Clostridiaceae	0.13451000448366682
1	Bifidobacteriaceae	20.50034962385631
2	Bifidobacteriaceae	9.947410284211724
3	Bifidobacteriaceae	31.29137
4	Bifidobacteriaceae	30.42729565242348
5	Bifidobacteriaceae	10.787732548921927
6	Bifidobacteriaceae	0.7714798457040309
7	Bifidobacteriaceae	7.930943862062925
9	Bifidobacteriaceae	72.88734457746891
11	Bifidobacteriaceae	1.33261
12	Bifidobacteriaceae	31.678113085050295
13	Bifidobacteriaceae	30.656985386860296
14	Bifidobacteriaceae	51.368488054739515
15	Bifidobacteriaceae	24.557689999999997
16	Bifidobacteriaceae	33.32986733340265
17	Bifidobacteriaceae	26.90516201788715
18	Bifidobacteriaceae	4.191958838391767
19	Bifidobacteriaceae	46.336016217605675
20	Bifidobacteriaceae	38.28361265672253
21	Bifidobacteriaceae	30.68508280368323
23	Bifidobacteriaceae	11.983981198398121
24	Bifidobacteriaceae	14.31859047728635
1	Bacteroidaceae	14.292380445752062
2	Bacteroidaceae	12.236233206749521
3	Bacteroidaceae	0.033885
4	Bacteroidaceae	20.425802652473248
5	Bacteroidaceae	4.303449877044289
6	Bacteroidaceae	0.12513997497200502
7	Bacteroidaceae	23.47337823155855
9	Bacteroidaceae	0.41876008375201673
11	Bacteroidaceae	0.0226
12	Bacteroidaceae	0.17159002573850385
13	Bacteroidaceae	4.888815902223683
14	Bacteroidaceae	2.3607440944297635
15	Bacteroidaceae	11.29989
16	Bacteroidaceae	4.692713906145722
17	Bacteroidaceae	7.949748096231107
18	Bacteroidaceae	25.20209504041901
19	Bacteroidaceae	18.019556306844706
20	Bacteroidaceae	11.087412217482443
21	Bacteroidaceae	17.4150468163427
23	Bacteroidaceae	0.17620001762000176
24	Bacteroidaceae	9.2975169765839
1	Other	13.436378998158425
2	Other	14.83748185249948
3	Other	3.5950800000000003
4	Other	11.040229631992347
5	Other	21.15109082425455
6	Other	2.8687594262481153
7	Other	10.787430719162048
9	Other	19.02899380579876
11	Other	13.36713
12	Other	6.819226022883903
13	Other	13.356067732878646
14	Other	5.539000221560009
15	Other	5.060896666666666
16	Other	6.059051878818964
17	Other	5.185697888927343
18	Other	4.747710949542189
19	Other	14.116712440849353
20	Other	5.236378547275709
21	Other	5.531321106264222
23	Other	12.308061230806123
24	Other	5.00976350032545
