weeks	baby_id	g__Bifidobacterium	B_adolescentis	B_angulatum	B_animalis	B_bifidum	B_breve	B_catenulatum	B_dentium	B_longum	B_pseudocatenulatum	B_pseudolongum	B_psychraerophilum
3	243	53.966680000000004	0.00193	0	0.13321	50.97508	0.022959999999999998	0	2.76562	0.06787	0	0	0
3	495	0	0	0	0	0	0	0	0	0	0	0	0
3	327	0.11911	0	0	6.5e-4	0.049319999999999996	0.055060000000000005	0	0	0.01096	0.0031100000000000004	0	0
3	572	8.61288	0	0	0	0.75497	0	0	1.6e-4	7.269360000000001	0.58839	0	0
3	353	8.05975	0	0	0	0	0.07447000000000001	0	0	4.15327	3.832	0	0
4	282	90.73604	28.61875	0	0	33.430609999999994	26.53789	0	0	2.12652	0.02228	0	0
4	545	3.07377	0.08857000000000001	0	0	0.09921	2.87197	0	0	0.0073	0.0067	0	0
4	253	0.44272	0.02219	0	0	0.21893	0.00296	0	6.1e-4	0.1942	0.0038299999999999996	0	0
4	346	0.09491000000000001	0.005379999999999999	0	0	0	0	0	0.006509999999999999	0.08302000000000001	0	0	0
4	508	0.0264	0	0	0	0	0.01505	0	0.011340000000000001	0	0	0	0
4	542	9.77868	0	0	0	0	0	0	0	9.77868	0	0	0
4	220	56.59349	0	0	0	0.00913	0.007509999999999999	0	0.00466	56.57144	7.5e-4	0	0
4	227	0.12644	0	0	0.10992	0	0.011359999999999999	0	0.0043	8.5e-4	0	0	0
4	230	33.621140000000004	5.3e-4	0	0	6.13469	12.254389999999999	0	0	15.23138	1.6e-4	0	0
4	234	0.01823	0	0	0	0	0	0	0.01738	8.5e-4	0	0	0
4	240	0.11372	0	0	0	0.056620000000000004	0.04554	0	0	0.011559999999999999	0	0	0
5	479	0.013669999999999998	0.0012900000000000001	0	0	9.5e-4	0	0	0	0.01144	0	0	0
5	440	11.31379	0	0	0	0	0	0	11.31379	0	0	0	0
5	237	0	0	0	0	0	0	0	0	0	0	0	0
5	218	17.14082	0.00324	0	0	4.69853	0	0	4.357080000000001	0.00773	8.07424	0	0
5	221	84.43863	8.02636	0	0	20.1192	0	0	0	55.00166	1.29141	0	0
5	235	0.9399799999999999	0	0	0	0.55948	0.13773	0	0.07985	0.07725	0.08567000000000001	0	0
5	236	22.4345	0.38943	0	0	3.35645	15.39272	0	2.64475	0.65117	0	0	0
5	243	48.40659	0	0	0	14.822579999999999	24.667270000000002	0	0.01732	8.79769	0.10173	0	0
5	252	0.06951	0	0	0.0010199999999999999	0.00867	0	0	0	0.059829999999999994	0	0	0
5	219	52.611090000000004	0	0	0.14027	49.75974	0.011770000000000001	0	2.6818400000000002	0.017480000000000002	0	0	0
5	250	1.18777	0.04278	0	0.72941	0.15755	0.11949000000000001	0	0	0.13043	0.00812	0	0
5	186	0.31522	0	0	0	0	0.1264	0	0	0.18882000000000002	0	0	0
5	246	0.04381	0	0	0.00673	0.00209	9.199999999999999e-4	0	0	0.011009999999999999	0.02305	0	0
5	318	3.71841	0	0	0	0.06999	0	0	3.3916	0.25682	0	0	0
5	350	20.25468	0	0	0	0	0	0	20.22264	0.03204	0	0	0
5	495	6.00402	4.23685	0	0	0.02052	0.0452	0	0	1.70145	0	0	0
5	316	0.010159999999999999	0	0	0	0.0034	0	0	0	0.0067599999999999995	0	0	0
5	324	2.83258	0.19867	0	0	0	0.0919	0	0	0.23146999999999998	2.31054	0	0
5	189	3.87603	0	0	0.016919999999999998	0.006999999999999999	0.01025	0	3.66094	0.14662999999999998	0.03428	0	0
5	353	3.77461	0.29557	0	0	0.57239	0.02613	0	0	2.82462	0.05591	0	0
5	376	7.39423	0	0	0	0	0	0	0	7.39423	0	0	0
5	530	0.07852	0	0	0.07852	0	0	0	0	0	0	0	0
5	247	0.0933	0	0	0.01123	0	0	0	0	0.08207	0	0	0
5	565	0.027739999999999997	0	0	0	0.003	0	0	0.0011300000000000001	0.02361	0	0	0
5	526	0.27636	0	0	0.26379	0.0077599999999999995	0.00481	0	0	0	0	0	0
5	228	25.61525	0.19498	0	0	9.74301	15.67726	0	0	0	0	0	0
5	231	93.91530999999999	0.01037	0	0.0015199999999999999	54.08472	39.46628	0	0	0.34345	0.00898	0	0
6	257	0.77148	0.11710999999999999	0	0.23474	0.24511	0.06175	0	0.033839999999999995	0.05669	0.02223	0	0
6	549	4.47274	0	0	4.46788	0.0018899999999999998	0	0	0	0.0012900000000000001	0.00168	0	0
6	571	12.94914	10.08874	0	0.00364	0.0606	0.24139000000000002	0.00228	0.01596	2.53045	0.00609	0	0
6	327	0.12308	0	0	0.01215	0.00692	0.00908	0	0.0018800000000000002	0.060329999999999995	0.03273	0	0
6	262	2.25349	0	0	2.09632	0	0	0	0	0.15718	0	0	0
6	498	2.87583	0.9724799999999999	0	0	0	0	0	0	1.90335	0	0	0
6	255	0.1258	0	0	0	0	0.00463	0	0	0.12117	0	0	0
6	347	0.65098	0	0	0.60806	0.00792	0	0	0	0.03499	0	0	0
6	350	8.3098	5.94046	0	0	0.02375	0.050789999999999995	0	0	2.27888	0.01591	0	0
7	343	23.75437	0.28541	0	0.5865100000000001	0.29716	0.24194000000000002	0.19774	0.09001	22.03624	0.01937	0	0
7	305	0.03356	0	0	0	0	0.030430000000000002	0	0.00313	0	0	0	0
7	308	0.0049	0	0	0.0049	0	0	0	0	0	0	0	0
7	248	2.11527	0	0	0	0.9424899999999999	0.35428000000000004	0	0	0.8185	0	0	0
8	223	51.2955	0.006690000000000001	0	0.20876999999999998	22.58344	4.07135	0	0	5.80536	18.619889999999998	0	0
8	248	1.60901	1.14505	0	0	0	0.00303	0	0	0.46093	0	0	0
9	282	72.86278	0.08281000000000001	0	0.14401	32.94746	35.34425	0.01455	0.01762	3.46567	0.8464	0	0
9	245	15.95951	0.02828	0	2.3999999999999998e-4	0.06279	0.08162	0	0	15.78385	0.0027199999999999998	0	0
9	356	38.39755	0.16818	0	0	9.31685	28.890659999999997	0	0	0.007540000000000001	0.01432	0	0
9	45	91.2516	0	0	8.07635	20.65755	4.01192	0	0	14.88185	43.62393	0	0
9	350	66.57768	0	0	0.00117	0.18557	0.09042	0	0	66.30051999999999	0	0	0
10	549	0.01425	0	0	0	0.00485	0	0	0.0021899999999999997	0.007209999999999999	0	0	0
10	162	89.7029	0.03345	0	0.0018800000000000002	0.12882000000000002	0.00264	0	0.01376	89.52235	0	0	0
10	353	0.14549	0	0	0.11919	0.0263	0	0	0	0	0	0	0
10	186	17.02731	0.0533	0	0.0041	0	0.006529999999999999	0	0	16.963379999999997	0	0	0
10	138	0.01291	0.01291	0	0	0	0	0	0	0	0	0	0
11	347	0.09162000000000001	0	0	0.07562	1.8e-4	0	8.900000000000001e-4	0	0.01493	0	0	0
