weeks	B_adolescentis	B_angulatum	B_animalis	B_bifidum	B_breve	B_catenulatum	B_dentium	B_longum	B_pseudocatenulatum	B_pseudolongum	B_psychraerophilum
9	0.02828	0	2.3999999999999998e-4	0.06279	0.08162	0	0	15.78385	0.0027199999999999998	0	0
9	0.16818	0	0	9.31685	28.890659999999997	0	0	0.007540000000000001	0.01432	0	0
9	0	0	8.07635	20.65755	4.01192	0	0	14.88185	43.62393	0	0
9	0	0	0.00117	0.18557	0.09042	0	0	66.30051999999999	0	0	0
10	0	0	0	0.00485	0	0	0.0021899999999999997	0.007209999999999999	0	0	0
10	0.03345	0	0.0018800000000000002	0.12882000000000002	0.00264	0	0.01376	89.52235	0	0	0
10	0	0	0.11919	0.0263	0	0	0	0	0	0	0
10	0.0533	0	0.0041	0	0.006529999999999999	0	0	16.963379999999997	0	0	0
10	0.01291	0	0	0	0	0	0	0	0	0	0
11	0	0	0.07562	1.8e-4	0	8.900000000000001e-4	0	0.01493	0	0	0
11	0	0	0	9.34179	77.38831	0	0.21572	0.7571100000000001	1.0056100000000001	0	0
11	0.0035399999999999997	0	0	0.06195	0	0	79.72359	1.6e-4	0	0	0
11	1.5e-4	0	0.0121	0.06088	0.013269999999999999	0	0	0.09389	0.0642	0	0
11	0	0	0	0.0016600000000000002	0	0	0	0.01853	0	0	0
11	0	0	0	0.00728	0	0	0	0.09636	0.006409999999999999	0	0
11	0	0	0	0.9616899999999999	1.1165100000000001	0	0	0.0967	0	0	0
11	0	0	0	0.014969999999999999	0	0	0	0	0	0	0
11	0	0	0	0	12.36422	0	0	0.13872	0	0	0
12	0.07153999999999999	0	0	0.07393999999999999	71.49955	0	0.028489999999999998	0.37346999999999997	0	0	0
12	0.05018	0	0	0.03195	23.75903	0	0	0.24461999999999998	0.00877	0	0
12	0.10902	0	0	0.0488	0.06051	0	0	0.058429999999999996	0.0035600000000000002	0	0
12	0	0	0	0	0	0	0	0.31098000000000003	0	0	0
12	0.01661	0	0	0.1588	0.11337	0	0	0.16089	0.00471	0	0
12	0	0	0.33853	0.0194	6.64827	0	0.028710000000000003	0.02887	0	0	0
12	0.69612	0	0.1619	0.08625	0.022619999999999998	0	0	0.33478	0	0	0
12	0.01883	0	0.74023	0.11092	0.54345	0	0.06608	0.92399	0.0037	0	0
13	0.028339999999999997	0	0.00462	59.66016	0.11369000000000001	0	0.00642	11.61225	3.45614	0	0
13	0.01154	0	0.00446	0	0	0	0	0.03143	0	0	0
13	0	0	0.019030000000000002	0.02646	0.0357	0	0.00448	3.68994	0	0	0
13	0.0601	0	12.85512	0.14862999999999998	0.18119000000000002	0	0.00233	45.54313	0	0	0
14	0	0.10642	0	1.67039	0.49382	0	0.03947	3.05104	0	0	0
14	21.94717	0	0.00103	9.59302	0.04445	0	0.09642	5.60992	0.00895	0.18092	0
14	0	0	0.59233	1.02346	0.18972999999999998	0	0.01012	0.0831	0.01017	0	0
14	0	0	0.14590999999999998	0.05961	0.07939	0	0	0.35146	0	0	0
14	0	0	0.32964	0.05595	7.713260000000001	0	0.05279	0.12003	0.00632	0	0
14	0	0	0.5484899999999999	0	0.00576	0	25.13853	5.46211	0.00441	0	0
14	0	0	0	0.02309	0.01254	0	0	0.01598	0.0092	0	0
15	0	0	0	0	14.15528	0	0	16.81188	0	0	0
15	0.23997	0	0.04206	0	15.870870000000002	0	0.05619	25.7731	0.00201	0	0
16	34.44983	0	0.18381	1.1e-4	0	0	1.41021	0.10878	0	0	0
16	8.91055	0	0.23471999999999998	0.00443	0.18977	0	0.60356	0.16562000000000002	0.0034200000000000003	0	0
16	0.0038200000000000005	0	0	0	0.00355	0	0	0.23803000000000002	0	0	0
17	0	0	0	0.06742999999999999	1.35589	0	0.0032700000000000003	10.65565	0	0	0
17	0	0	0	0.008579999999999999	0	0	0	0.0758	0	0	0
18	0	0	0.00109	0	0.14556	0	0	91.14158	0	0	0
19	0.00133	0	0	0	87.02231	0	0.02833	0	0	0	0
19	0	0	0.99711	0	0	0	0	0.06135	0	0	0
19	0	0	0.09246	0	0.045610000000000005	0	0	0.00268	0	0	0
20	0.00685	0	8.50592	0.02812	0.0049	0	0	0.0036299999999999995	0.00201	0	0
20	1.85953	0	0	1.8e-4	0.0256	0	0.01245	2.78392	1.8010700000000002	0	0
20	0	0	0.34151	0.00251	0	0	0.18237	0.018680000000000002	0.00107	0	0
20	0.0258	3.7999999999999997e-4	3.1551400000000003	30.096629999999998	4.5607	0	0	13.411079999999998	39.39909	0	0
20	0	0	0.0024100000000000002	0	0.00292	0	0	0.04364	0	0	0
20	0	0	0.0016300000000000002	0.10359000000000002	0.00589	0	0.014580000000000001	7.25575	0	0	0
20	0	0	0	0.02478	0	0	0.00265	22.39278	0.00909	0	0
21	0	0	0	0	0.001	0	0.0036799999999999997	0.00328	0	0	0
22	0.01761	0	0	0	0.01889	0	0	0.10665999999999999	0.00346	0	0
22	0.00248	0	0.10016	0.31535	72.01261	0	0.22298	4.5445	0.03702	0	0
24	0	0	0	0	8.20209	0	0.014209999999999999	0.00908	2.00052	0	0
